Elementos	Secuencial	2 threads	4 threads
100	0.0017	0.0009	0.0004
300	0.0505	0.0285	0.0142
500	0.6733	0.3389	0.1724
700	1.6748	0.8503	0.4293
900	4.7940	2.4759	1.2596
1100	9.5056	4.9658	2.6036
1300	16.1411	8.2490	4.2484
1500	28.9739	14.2880	7.7912
