1 1.602
2 0.861
3 0.608
4 0.488
5 0.401
6 0.360
7 0.314
8 0.372
9 0.309
10 0.321
11 0.297
12 0.304
1 16.280
2 8.772
3 7.173
4 7.091
5 4.321
6 4.254
7 3.993
8 2.712
9 2.738
10 2.369
11 2.510
12 2.357
