0.022 0.000 0.004
0.004 0.001 0.003
0.006 0.004 0.002
0.010 0.002 0.008
0.018 0.005 0.013
0.033 0.019 0.013
0.063 0.038 0.025
0.124 0.074 0.050
0.248 0.149 0.098
0.493 0.286 0.205
0.983 0.567 0.412
1.948 1.175 0.767
3.885 2.368 1.500
